Number,Country, Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,Serious_Critical,Total Cases Per In Pop,Death Per In Pop,Total Tests,Tests Per In Pop,Population
1,USA,"104,289,430",,"1,134,259",,"101,378,824","1,776,347","3,425","311,493","3,388","1,160,088,793","3,464,966","334,805,269",North America,3,295,0,,,"5,306"
2,India,"44,682,895",,"530,740",,"44,150,372","1,783",698,"31,766",377,"915,265,788","650,679","1,406,631,776",Asia,31,"2,650",2,,,1
3,France,"39,528,817",,"164,286",,"39,271,652","92,879",869,"602,716","2,505","271,490,188","4,139,547","65,584,518",Europe,2,399,0,,,"1,416"
4,Germany,"37,796,790",,"165,865",,"37,413,200","217,725","1,281","450,586","1,977","122,332,384","1,458,359","83,883,596",Europe,2,506,1,,,"2,596"
5,Brazil,"36,837,943",,"697,200",,"35,933,396","207,347","8,318","171,058","3,237","63,776,166","296,146","215,353,593",South America,6,309,3,,,963
6,Japan,"32,588,442",,"68,399",,"21,567,425","10,952,618",496,"259,493",545,"92,144,639","733,724","125,584,838",Asia,4,"1,836",1,,,"87,213"
7,S. Korea,"30,213,928","+16,862","33,522",+36,"29,773,405","407,001",345,"588,622",653,"15,804,065","307,892","51,329,899",Asia,2,"1,531",3,329,0.7,"7,929"
8,Italy,"25,453,789",,"186,833",,"25,014,986","251,970",205,"422,380","3,100","265,478,247","4,405,344","60,262,770",Europe,2,323,0,,,"4,181"
9,UK,"24,274,361",,"204,171",,"24,024,750","45,440",146,"354,381","2,981","522,526,476","7,628,357","68,497,907",Europe,3,335,0,,,663
10,Russia,"21,958,696",,"395,108",,"21,356,008","207,580","2,300","150,602","2,710","273,400,000","1,875,095","145,805,947",Europe,7,369,1,,,"1,424"
11,Turkey,"17,042,722",,"101,492",,N/A,N/A,,"199,186","1,186","162,743,369","1,902,052","85,561,976",Asia,5,843,1,,,"1,819"
12,Spain,"13,731,478",,"118,434",,"13,557,699","55,345",231,"293,915","2,535","471,036,328","10,082,298","46,719,142",Europe,3,394,0,,,"1,185"
13,Vietnam,"11,526,508",,"43,186",,"10,612,479","870,843",2,"116,484",436,"85,826,548","867,342","98,953,541",Asia,9,"2,291",1,,,"8,801"
14,Australia,"11,295,446",,"18,615",,"11,235,771","41,060",49,"433,294",714,"78,835,048","3,024,116","26,068,792",Australia/Oceania,2,"1,400",0,,,"1,575"
15,Argentina,"10,037,135",,"130,421",,"9,879,805","26,909",363,"218,150","2,835","35,716,069","776,264","46,010,234",South America,5,353,1,,,585
16,Taiwan,"9,569,611",,"16,356",,"9,129,718","423,537",,"400,593",685,"30,207,485","1,264,515","23,888,595",Asia,2,"1,461",1,,,"17,730"
